id,Name,titleProject_id,class,score,login,password
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,jJ06GUsf
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,vM4shhSK
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,iQ1JkoEi
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,tI6tQ0XU
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,kB03SCav
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,qO38WBnc
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,qD84sXsV
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,nY8gFa5B
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,kI07pTmh
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,gF923qlj
67,Остюков Артур Романович,329,11и,3,Остюков_АР,oQ6lCT9x
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,jE41szln
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,aE5s44d8
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,rC3o0Ha1
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,tV8lBrxK
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,gB28jIz2
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,rJ3kxsB2
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,cS3LDId6
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,pP5dVlgc
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,fH84FckX
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,aH1H6wfo
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,pS6i01Jk
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,sB4Bdnyi
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,wR1vKv2a
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,tY4Q5mRd
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,pK5DS5AX
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,gQ1On2DO
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,xX5CQ1Yt
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,vR0jXgaF
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,qM8X5tKr
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,eN8j3Ghp
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,dX6joe3L
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,aI3CXqbz
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,cG8EcOFJ
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,nF5b2VRC
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,jJ3gTWsY
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,oX2DFhHR
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,zO3UJL25
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,cW28C8yn
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,aE7iGznt
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,mB9Mxifm
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,oS6WYWTc
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,sT5T76nS
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,aD6eBCzt
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,hZ293FQg
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,oT5rZDxP
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,lQ3SPr6h
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,yS0zBOUC
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,jV6FCeqQ
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,qB6nJ8mj
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,sN9XJlTN
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,vH363Tf1
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,mS92goCF
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,hC2cN1wJ
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,gE9OHElv
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,fU7xyvV6
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,jC3y9UAZ
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,cZ2YJfIZ
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,qK15J4Pw
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,wN0HcuHD
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,wX2vTdpW
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,xE2XDD3Y
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,nD6Bv9YC
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,vC9S0e3l
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,mQ36cdQY
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,hL2StT5E
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,eS6khviA
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,tC2Wnagd
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,cX2Yq4uB
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,cO5q8F8L
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,gL02qsue
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,dD9HCT5U
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,tL03SdA9
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,jZ3bIwGj
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,vX3Ydu8h
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,dM84W7kZ
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,eF5jU3c4
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,aP7RmrEL
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,tY1clpFd
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,xZ1sjIGM
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,pD24QZDc
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,uE2WTVGd
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,kX17Y1Ie
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,nY0keTRu
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,pT2djcme
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,aY3BJM4U
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,qG6eGexK
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,cC4bNv6u
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,vS9GSxL7
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,uR2KGR2D
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,lH37FwnU
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,eK6njsAS
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,hN2c72b5
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,oV06pcMB
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,nV0nEYrA
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,uN5bbBfO
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,yN4ImsmD
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,aQ9Qcl8U
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,oG9vN1Zm
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,nQ8Si3aC
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,yR92i8vo
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,fM6HaU2q
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,oP0r7zGo
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,gI9ArAAj
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,rZ9tITW0
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,tJ0qUgar
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,oH1utIeM
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,hQ24hkTg
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,yV3z3NaI
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,tU1kFysC
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,kA9P0QHO
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,lK98t0Lo
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,zM3P5oFx
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,aE9H5ahK
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,eP3g4wKK
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,nA88HF1o
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,yH2JPsdP
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,gT9DeKLY
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,oW2KTA2l
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,zN2yoD6u
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,vV3x9Un1
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,uY89ihFN
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,yZ5KMbf7
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,qY9cHQIG
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,gS3lSoC3
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,xB4m2LuJ
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,wR7eJqpU
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,vE4QpZ4F
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,gO2ttOzG
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,uU29fsCJ
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,lD1BCiBc
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,sI5vCNMw
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,dE5jARl7
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,gN03t5Ql
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,xK2Ra0F1
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,tX9gDD5K
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,bM2otvw0
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,tD36LTZq
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,sX5N0kPj
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,bY8DB9zv
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,sF5Bknzp
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,mR5DeRxQ
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,bP5FCwG7
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,yL0kzfWG
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,qZ4i9VPF
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,uD2Qw49s
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,bL0FeEh3
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,wS8LXyIQ
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,hM1cvcZr
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,tW5M6SzC
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,oQ7iiw8U
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,iQ0ZgzWH
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,jH1exfgt
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,bG4OyZ07
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,cJ5142vp
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,nA843AXS
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,lO8WYjCa
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,lB1vuodQ
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,iF9LqemB
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,zT8PgqhN
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,tJ8ZmLMn
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,sI42Bo9e
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,aI72aLbn
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,yA0NLbiw
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,kH81qMhF
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,hZ9zZCjk
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,lW0kKrVR
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,pQ0DHyVy
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,pN8bs0oL
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,aI3cDPxA
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,kG0idOY8
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,cQ5yjVmd
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,hP0ygEwn
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,oB46xwLD
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,eK0290jz
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,pX8i9och
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,rX8OWOxN
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,eK6r64ku
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,kQ2Hd0qg
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,nD5Ih2Kt
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,yR1GEHOr
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,dO5hToOR
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,oE6z70P1
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,pE6YwK3N
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,sJ1PwR1C
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,bP6XUttP
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,sT7xAkPE
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,fO2YIopB
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,pD9GCc9N
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,eA71d1FK
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,mZ7Qy1xP
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,bS61gMSV
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,eD9am6M3
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,vN6O4t3A
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,mK0dbyVt
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,tD6EPMNO
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,oX5zxDE1
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,jS3me13q
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,uD3evYjM
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,cT9MnzSd
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,hN5vwAlp
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,pP3CAX5n
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,gH7fbG5o
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,wK5fA0N2
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,fH2lUhBN
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,oM22HTtI
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,yT8p5acB
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,aG0OgWZ8
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,eF9O52Dx
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,hI3ksJdb
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,kS4FOjO0
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,oT4KeoqU
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,nI0EMFVa
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,zF3GWvwX
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,uO8j1EoG
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,aO96iKIg
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,jR8rp0x2
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,xM7d7ZG2
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,fP63xb6s
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,jA4yHemi
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,vA4AgGpj
278,Углова Галина Романовна,260,9г,3,Углова_ГР,fE0kzjxq
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,mS1YxDNb
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,sR6v0B1v
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,fQ45OS8J
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,uQ3KDaGu
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,sX8PdoT7
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,jP0eHH7m
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,dK2aeGdZ
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,tQ6EDPfN
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,rJ0Om78d
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,lN6iGt4V
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,iW5Vujbj
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,tX5AYZb0
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,cC0Y296M
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,eJ21JHwK
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,lW6U0LdK
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,vF0kUf8n
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,cO1cFz03
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,mA3ayEzG
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,qP6etKmq
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,rC7LGFJ2
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,wL004nze
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,sV57kF9Z
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,pV8NBBaB
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,cC8RtTXE
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,tR49feo5
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,xV0wG9ph
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,kI7eztXc
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,yF0rrB2m
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,oE6chgVd
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,uM07hH3l
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,aX4Qm727
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,oI0Izfi0
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,qN44Gtnk
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,rW1frXg2
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,wR0eaVgR
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,dO2ArbK9
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,xJ0kiJ6Q
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,iY7TPl01
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,xE0p1OUf
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,jK11LZli
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,uN2Nm4YJ
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,oM6cuD3K
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,oL4xPWvT
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,aB89Z2NM
